ENTRY_SEC_ID,TRACKS_ID
30022N,
30025N,
30047L,R43
30047R,R43
30101N,R43
30103N,R46
30201N,R44
30301L,R19
30301N,
30301R,R19
30401N,R19
30410N,R15
30501N,R19
30506L,R20-R21
30506N,R20
30506R,R20-R21
30632N,
30636L,R1
30636R,R1
30731L,R16
30731R,R16
30806N,R15
30908L,R20-R21
30908N,R20
30908R,R20-R21
31001N,R21
31007N,R17
31129N,R2
31202N,R2
31302L,R3
31302R,R3
31431L,R18
31431R,R18
31505N,R17
31608L,R22-R23
31608N,R22
31608R,R22-R23
31705L,R22-R23
31705N,R22
31705R,R22-R23
31801N,R23
31841N,R4
31842N,R4
31902N,R4
32002L,R5
32002R,R5
32144L,R26-R27
32144N,R26
32144R,R26-R27
32202N,R6
32301L,R23-R24
32301N,R23
32301R,R23-R24
32402L,R26-R27
32402N,R26
32402R,R26-R27
32501N,R27
32502N,R28
32601N,R27
32642N,R6
32702L,R7
32702R,R7
32801L,R30-R31
32801N,R30
32801R,R30-R31
32943L,R30-R31
32943N,R30
32943R,R30-R31
33001N,R31-R32
33101N,R31
33102L,R34-R35
33102N,R34
33102R,R34-R35
33239L,R8-R9
33239N,R8
33239R,R8-R9
33302L,R8-R9
33302N,R8
33302R,R8-R9
33401N,R9
33434L,R33-R34
33434R,R33-R34
33501N,R33
33503N,R32
33601L,R34-R35
33601N,R34
33601R,R34-R35
33701N,R35
33741L,R10-R11
33741N,R10
33741R,R10-R11
33742L,R10-R11
33742N,R10
33742R,R10-R11
33802L,R10-R11
33802N,R10
33802R,R10-R11
33901N,R11
33939L,R36-R37
33939N,R36
33939R,R36-R37
34002L,R36-R37
34002N,R36
34002R,R36-R37
34101N,R37-R38
34238N,R12
34302N,R12
34439L,R40-R41
34439R,R40-R41
34502N,R38
34601N,R37
34602L,R40-R41
34602N,R40
34602R,R40-R41
34701L,R40-R41
34701N,R40
34701R,R40-R41
34842N,R14
34902N,R14
35001N,
35043N,R42
35102N,R42
35201N,
35202N,R70
35304L,R64-R65
35304N,
35304R,R64-R65
35403L,R60-R61
35403N,
35403R,R60-R61
35501L,R29
35501R,R28-R29
35601N,R28-R29
35701N,R29
35704L,R25-R56
35704N,R25
35704R,R25-R56
35801L,R25-R56
35801N,R25
35801R,R25-R56
35901N,R56
35904L,R52
35904R,R52-R53
36002N,R51
36102L,R47
36102R,R47
36201L,R47-R45
36201R,R47-R45
36301N,R45
36303N,R44
36401N,R45-R46
36501N,R47
36501R,R47-R48
36702L,R49-R50
36702N,R49
36702R,R49-R50
36801N,R50-R51
36901N,R50
36902N,R53
36902R,R53-R54
37001R,R53-R54
37201N,R54
37202N,R55
37501N,R57
37601N,R56-R57
37701R,R58
37902N,R59
38202L,R61-R62
38202N,R61
38202R,R61-R62
38301L,R61-R62
38301N,R61
38301R,R61-R62
38401N,R62
38443N,R71
38443R,R71-R72
38501N,R62
38502N,R63
38601N,R72
38643N,R63
38801L,R65-R66
38801N,R65
38801R,R65-R66
38901L,R65-R66
38901N,R65
38901R,R65-R66
39001N,R66
39002N,R67
39002R,R67-R68
39102N,
39103N,
39104N,
39106N,
39106R,
39201L,R13
39201R,R13
39401N,R68
39402N,R69
39601N,R70
