Id,FromAddress,ToAddress,Speed,Type,PermitDirection
30001,10001,13002,1000,Horizontal,Forward
30002,13002,13003,1000,Horizontal,Forward
30003,13003,11004,1000,Horizontal,Forward
30004,11004,13005,1000,Horizontal,Forward
30005,13005,13006,1000,Horizontal,Forward
30006,13006,12007,1000,Horizontal,Forward
30007,12007,12008,1000,Horizontal,Forward
30008,12008,14009,1000,Horizontal,Forward
30009,14009,14010,1000,Horizontal,Forward
30010,14010,12011,1000,Horizontal,Forward
30011,12011,12012,1000,Horizontal,Forward
30012,12012,13013,1000,Horizontal,Forward
30013,13013,13014,1000,Horizontal,Forward
30014,13014,12015,1000,Horizontal,Forward
30015,12015,12016,1000,Horizontal,Forward
30016,12016,13017,1000,Horizontal,Forward
30017,13017,13018,1000,Horizontal,Forward
30018,13018,12019,1000,Horizontal,Forward
30019,12019,13020,1000,Horizontal,Forward
30020,13020,13021,1000,Horizontal,Forward
30021,13021,10022,1000,Horizontal,Forward
30022,10022,10023,1000,Horizontal,Forward
30023,10023,11024,1000,Horizontal,Forward
30024,11024,10025,1000,Horizontal,Forward
30025,10025,10026,1000,Horizontal,Forward
30026,10026,13027,1000,Horizontal,Forward
30027,13027,13028,1000,Horizontal,Forward
30028,13028,13029,1000,Horizontal,Forward
30029,13029,12030,1000,Horizontal,Forward
30030,12030,12031,1000,Horizontal,Forward
30031,12031,12032,1000,Horizontal,Forward
30032,12032,12033,1000,Horizontal,Forward
30033,12033,14034,1000,Horizontal,Forward
30034,14034,14035,1000,Horizontal,Forward
30035,14035,14036,1000,Horizontal,Forward
30036,14036,12037,1000,Horizontal,Forward
30037,12037,12038,1000,Horizontal,Forward
30038,12038,12039,1000,Horizontal,Forward
30039,12039,12040,1000,Horizontal,Forward
30040,12040,13041,1000,Horizontal,Forward
30041,13041,13042,1000,Horizontal,Forward
30042,13042,12043,1000,Horizontal,Forward
30043,12043,12044,1000,Horizontal,Forward
30044,12044,13045,1000,Horizontal,Forward
30045,13045,13046,1000,Horizontal,Forward
30046,13046,12047,1000,Horizontal,Forward
30047,12047,10048,1000,Horizontal,Forward
30101,10048,10049,1000,Horizontal,Forward
30102,10049,10050,1000,Horizontal,Forward
30103,10050,10001,1000,Horizontal,Forward
30201,10048,10810,1000,Horizontal,Forward
30301,10810,10811,1000,Horizontal,Forward
30401,10811,10051,1000,Horizontal,Forward
30402,10051,12052,1000,Horizontal,Forward
30403,12052,12053,1000,Horizontal,Forward
30404,12053,12054,1000,Horizontal,Forward
30405,12054,12055,1000,Horizontal,Forward
30406,12055,14056,1000,Horizontal,Forward
30407,14056,14057,1000,Horizontal,Forward
30408,14057,12058,1000,Horizontal,Forward
30409,12058,10059,1000,Horizontal,Forward
30410,10059,10060,1000,Horizontal,Forward
30501,10811,10812,1000,Horizontal,Forward
30502,10812,11813,1000,Horizontal,Forward
30503,11813,11814,1000,Horizontal,Forward
30504,11814,11815,1000,Horizontal,Forward
30505,11815,10816,1000,Horizontal,Forward
30506,10816,10817,1000,Horizontal,Forward
30601,10060,12061,1000,Horizontal,Forward
30602,12061,12062,1000,Horizontal,Forward
30603,12062,12063,1000,Horizontal,Forward
30604,12063,12064,1000,Horizontal,Forward
30605,12064,14065,1000,Horizontal,Forward
30606,14065,14066,1000,Horizontal,Forward
30607,14066,12067,1000,Horizontal,Forward
30608,12067,12068,1000,Horizontal,Forward
30609,12068,12069,1000,Horizontal,Forward
30610,12069,12070,1000,Horizontal,Forward
30611,12070,12071,1000,Horizontal,Forward
30612,12071,12072,1000,Horizontal,Forward
30613,12072,12073,1000,Horizontal,Forward
30614,12073,12074,1000,Horizontal,Forward
30615,12074,12075,1000,Horizontal,Forward
30616,12075,12076,1000,Horizontal,Forward
30617,12076,14077,1000,Horizontal,Forward
30618,14077,14078,1000,Horizontal,Forward
30619,14078,12079,1000,Horizontal,Forward
30620,12079,12080,1000,Horizontal,Forward
30621,12080,12081,1000,Horizontal,Forward
30622,12081,12082,1000,Horizontal,Forward
30623,12082,12083,1000,Horizontal,Forward
30624,12083,12084,1000,Horizontal,Forward
30625,12084,12085,1000,Horizontal,Forward
30626,12085,12086,1000,Horizontal,Forward
30627,12086,12087,1000,Horizontal,Forward
30628,12087,12088,1000,Horizontal,Forward
30629,12088,13089,1000,Horizontal,Forward
30630,13089,13090,1000,Horizontal,Forward
30631,13090,10091,1000,Horizontal,Forward
30632,10091,10092,1000,Horizontal,Forward
30633,10092,11093,1000,Horizontal,Forward
30634,11093,11094,1000,Horizontal,Forward
30635,11094,11095,1000,Horizontal,Forward
30636,11095,10096,1000,Horizontal,Forward
30701,10096,10098,1000,Horizontal,Forward
30702,10098,12099,1000,Horizontal,Forward
30703,12099,12100,1000,Horizontal,Forward
30704,12100,12101,1000,Horizontal,Forward
30705,12101,12102,1000,Horizontal,Forward
30706,12102,14103,1000,Horizontal,Forward
30707,14103,14104,1000,Horizontal,Forward
30708,14104,12105,1000,Horizontal,Forward
30709,12105,12106,1000,Horizontal,Forward
30710,12106,12107,1000,Horizontal,Forward
30711,12107,12108,1000,Horizontal,Forward
30712,12108,12109,1000,Horizontal,Forward
30713,12109,12110,1000,Horizontal,Forward
30714,12110,12111,1000,Horizontal,Forward
30715,12111,12112,1000,Horizontal,Forward
30716,12112,12113,1000,Horizontal,Forward
30717,12113,12114,1000,Horizontal,Forward
30718,12114,13115,1000,Horizontal,Forward
30719,13115,13116,1000,Horizontal,Forward
30720,13116,12117,1000,Horizontal,Forward
30721,12117,12118,1000,Horizontal,Forward
30722,12118,12119,1000,Horizontal,Forward
30723,12119,12120,1000,Horizontal,Forward
30724,12120,12121,1000,Horizontal,Forward
30725,12121,12122,1000,Horizontal,Forward
30726,12122,12123,1000,Horizontal,Forward
30727,12123,12124,1000,Horizontal,Forward
30728,12124,12125,1000,Horizontal,Forward
30729,12125,14126,1000,Horizontal,Forward
30730,14126,14127,1000,Horizontal,Forward
30731,14127,10128,1000,Horizontal,Forward
30801,10128,10136,1000,Horizontal,Forward
30802,10136,11137,1000,Horizontal,Forward
30803,11137,11138,1000,Horizontal,Forward
30804,11138,11139,1000,Horizontal,Forward
30805,11139,10140,1000,Horizontal,Forward
30806,10140,10060,1000,Horizontal,Forward
30901,10128,10129,1000,Horizontal,Forward
30902,10129,12130,1000,Horizontal,Forward
30903,12130,12131,1000,Horizontal,Forward
30904,12131,12132,1000,Horizontal,Forward
30905,12132,12133,1000,Horizontal,Forward
30906,12133,13134,1000,Horizontal,Forward
30907,13134,13135,1000,Horizontal,Forward
30908,13135,10817,1000,Horizontal,Forward
31001,10817,10141,1000,Horizontal,Forward
31002,10141,12142,1000,Horizontal,Forward
31003,12142,12143,1000,Horizontal,Forward
31004,12143,12144,1000,Horizontal,Forward
31005,12144,10145,1000,Horizontal,Forward
31006,10145,10146,1000,Horizontal,Forward
31101,10146,12147,1000,Horizontal,Forward
31102,12147,12148,1000,Horizontal,Forward
31103,12148,12149,1000,Horizontal,Forward
31104,12149,12150,1000,Horizontal,Forward
31105,12150,12151,1000,Horizontal,Forward
31106,12151,14152,1000,Horizontal,Forward
31107,14152,14153,1000,Horizontal,Forward
31108,14153,12154,1000,Horizontal,Forward
31109,12154,12155,1000,Horizontal,Forward
31110,12155,12156,1000,Horizontal,Forward
31111,12156,12157,1000,Horizontal,Forward
31112,12157,12158,1000,Horizontal,Forward
31113,12158,12159,1000,Horizontal,Forward
31114,12159,12160,1000,Horizontal,Forward
31115,12160,12161,1000,Horizontal,Forward
31116,12161,12162,1000,Horizontal,Forward
31117,12162,12163,1000,Horizontal,Forward
31118,12163,12164,1000,Horizontal,Forward
31119,12164,12165,1000,Horizontal,Forward
31120,12165,12166,1000,Horizontal,Forward
31121,12166,12167,1000,Horizontal,Forward
31122,12167,12168,1000,Horizontal,Forward
31123,12168,12169,1000,Horizontal,Forward
31124,12169,12170,1000,Horizontal,Forward
31125,12170,12171,1000,Horizontal,Forward
31126,12171,12172,1000,Horizontal,Forward
31127,12172,13173,1000,Horizontal,Forward
31128,13173,13174,1000,Horizontal,Forward
31129,13174,10175,1000,Horizontal,Forward
31201,10096,10097,1000,Horizontal,Forward
31202,10097,10175,1000,Horizontal,Forward
31301,10175,10176,1000,Horizontal,Forward
31302,10176,10177,1000,Horizontal,Forward
31401,10177,10178,1000,Horizontal,Forward
31402,10178,12179,1000,Horizontal,Forward
31403,12179,12180,1000,Horizontal,Forward
31404,12180,12181,1000,Horizontal,Forward
31405,12181,12182,1000,Horizontal,Forward
31406,12182,14183,1000,Horizontal,Forward
31407,14183,14184,1000,Horizontal,Forward
31408,14184,12185,1000,Horizontal,Forward
31409,12185,12186,1000,Horizontal,Forward
31410,12186,12187,1000,Horizontal,Forward
31411,12187,12188,1000,Horizontal,Forward
31412,12188,12189,1000,Horizontal,Forward
31413,12189,12190,1000,Horizontal,Forward
31414,12190,12191,1000,Horizontal,Forward
31415,12191,12192,1000,Horizontal,Forward
31416,12192,12193,1000,Horizontal,Forward
31417,12193,12194,1000,Horizontal,Forward
31418,12194,13195,1000,Horizontal,Forward
31419,13195,13196,1000,Horizontal,Forward
31420,13196,12197,1000,Horizontal,Forward
31421,12197,12198,1000,Horizontal,Forward
31422,12198,12199,1000,Horizontal,Forward
31423,12199,12200,1000,Horizontal,Forward
31424,12200,12201,1000,Horizontal,Forward
31425,12201,12202,1000,Horizontal,Forward
31426,12202,12203,1000,Horizontal,Forward
31427,12203,12204,1000,Horizontal,Forward
31428,12204,12205,1000,Horizontal,Forward
31429,12205,13206,1000,Horizontal,Forward
31430,13206,13207,1000,Horizontal,Forward
31431,13207,10208,1000,Horizontal,Forward
31501,10208,10216,1000,Horizontal,Forward
31502,10216,11217,1000,Horizontal,Forward
31503,11217,11218,1000,Horizontal,Forward
31504,11218,10219,1000,Horizontal,Forward
31505,10219,10146,1000,Horizontal,Forward
31601,10208,10209,1000,Horizontal,Forward
31602,10209,12210,1000,Horizontal,Forward
31603,12210,12211,1000,Horizontal,Forward
31604,12211,12212,1000,Horizontal,Forward
31605,12212,12213,1000,Horizontal,Forward
31606,12213,13214,1000,Horizontal,Forward
31607,13214,13215,1000,Horizontal,Forward
31608,13215,10822,1000,Horizontal,Forward
31701,10817,10818,1000,Horizontal,Forward
31702,10818,11819,1000,Horizontal,Forward
31703,11819,11820,1000,Horizontal,Forward
31704,11820,10821,1000,Horizontal,Forward
31705,10821,10822,1000,Horizontal,Forward
31801,10822,10220,1000,Horizontal,Forward
31802,10220,12221,1000,Horizontal,Forward
31803,12221,12222,1000,Horizontal,Forward
31804,12222,12223,1000,Horizontal,Forward
31805,12223,12224,1000,Horizontal,Forward
31806,12224,12225,1000,Horizontal,Forward
31807,12225,12226,1000,Horizontal,Forward
31808,12226,12227,1000,Horizontal,Forward
31809,12227,12228,1000,Horizontal,Forward
31810,12228,12229,1000,Horizontal,Forward
31811,12229,12230,1000,Horizontal,Forward
31812,12230,12231,1000,Horizontal,Forward
31813,12231,12232,1000,Horizontal,Forward
31814,12232,12233,1000,Horizontal,Forward
31815,12233,12234,1000,Horizontal,Forward
31816,12234,14235,1000,Horizontal,Forward
31817,14235,14236,1000,Horizontal,Forward
31818,14236,12237,1000,Horizontal,Forward
31819,12237,12238,1000,Horizontal,Forward
31820,12238,12239,1000,Horizontal,Forward
31821,12239,12240,1000,Horizontal,Forward
31822,12240,14241,1000,Horizontal,Forward
31823,14241,14242,1000,Horizontal,Forward
31824,14242,12243,1000,Horizontal,Forward
31825,12243,12244,1000,Horizontal,Forward
31826,12244,12245,1000,Horizontal,Forward
31827,12245,12246,1000,Horizontal,Forward
31828,12246,12247,1000,Horizontal,Forward
31829,12247,12248,1000,Horizontal,Forward
31830,12248,12249,1000,Horizontal,Forward
31831,12249,12250,1000,Horizontal,Forward
31832,12250,12251,1000,Horizontal,Forward
31833,12251,12252,1000,Horizontal,Forward
31834,12252,12253,1000,Horizontal,Forward
31835,12253,12254,1000,Horizontal,Forward
31836,12254,12255,1000,Horizontal,Forward
31837,12255,14256,1000,Horizontal,Forward
31838,14256,14257,1000,Horizontal,Forward
31839,14257,12258,1000,Horizontal,Forward
31840,12258,12259,1000,Horizontal,Forward
31841,12259,12260,1000,Horizontal,Forward
31842,12260,10261,1000,Horizontal,Forward
31901,10177,10879,1000,Horizontal,Forward
31902,10879,10261,1000,Horizontal,Forward
32001,10261,10262,1000,Horizontal,Forward
32002,10262,10263,1000,Horizontal,Forward
32101,10263,10265,1000,Horizontal,Forward
32102,10265,12266,1000,Horizontal,Forward
32103,12266,14267,1000,Horizontal,Forward
32104,14267,14268,1000,Horizontal,Forward
32105,14268,12269,1000,Horizontal,Forward
32106,12269,12270,1000,Horizontal,Forward
32107,12270,12271,1000,Horizontal,Forward
32108,12271,12272,1000,Horizontal,Forward
32109,12272,12273,1000,Horizontal,Forward
32110,12273,14274,1000,Horizontal,Forward
32111,14274,14275,1000,Horizontal,Forward
32112,14275,12276,1000,Horizontal,Forward
32113,12276,12277,1000,Horizontal,Forward
32114,12277,12278,1000,Horizontal,Forward
32115,12278,12279,1000,Horizontal,Forward
32116,12279,12280,1000,Horizontal,Forward
32117,12280,14281,1000,Horizontal,Forward
32118,14281,14282,1000,Horizontal,Forward
32119,14282,12283,1000,Horizontal,Forward
32120,12283,12284,1000,Horizontal,Forward
32121,12284,12285,1000,Horizontal,Forward
32122,12285,12286,1000,Horizontal,Forward
32123,12286,14287,1000,Horizontal,Forward
32124,14287,14288,1000,Horizontal,Forward
32125,14288,12289,1000,Horizontal,Forward
32126,12289,12290,1000,Horizontal,Forward
32127,12290,12291,1000,Horizontal,Forward
32128,12291,12292,1000,Horizontal,Forward
