Id,PositionX,PositionY,IsWorkStation,CanLeftLoad,CanLeftUnload,CanRightLoad,CanRightUnload,IsCharger,CouplerId,ChargeDirection,IsSegmentPoint,CanSpin,PioDirection,IsTR50,InsideSectionId,OffsetX,OffsetY,OffsetTheta,VehicleHeadAngle
10091,760,2630,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10092,0,3840,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
11093,0,5940,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
11094,0,7650,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
11095,0,9360,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10096,0,11190,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10097,0,14610,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10175,0,17760,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
11176,0,20010,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10177,0,22200,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10879,0,25110,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10261,0,28290,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
11262,0,29340,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10263,0,30300,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10264,0,32910,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10349,0,36090,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
11350,0,37050,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10351,0,38010,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10352,0,40320,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10434,0,43830,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10435,0,45960,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10513,0,48210,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10514,0,50250,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10591,0,52980,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10592,0,53850,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10593,0,55830,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10675,0,58260,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
10676,1180,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12677,1690,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
14678,2200,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
14679,2680,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12680,3160,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12681,3790,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
14682,4300,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
14683,4780,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12684,5260,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12685,5920,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12686,6400,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12687,6880,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12688,7390,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12689,7990,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12690,8500,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12691,8980,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12692,9490,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12693,10120,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12694,10600,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12695,11080,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12696,11590,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12697,12220,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12698,12700,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12699,13210,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12700,13690,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12701,14320,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12702,14800,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12703,15310,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12704,15790,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12705,16420,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12706,16900,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12707,17380,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12708,17890,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12709,18520,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12710,19000,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12711,19390,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
12712,19990,59590,True,True,False,False,False,False,None,None,True,False,Left,False,0,0,0,0,0
