"Id","FromAddress","ToAddress","Speed","Type","PermitDirection"
"31901","19000","10051","1000","Horizontal","Forward"
"31902","10051","10052","1000","Horizontal","Forward"
"32001","10052","10053","1000","Horizontal","Forward"
"32002","10053","10054","1000","Horizontal","Forward"
"32003","10054","13055","1000","Horizontal","Forward"
"32004","13055","15056","1000","Horizontal","Forward"
"32005","15056","15057","1000","Horizontal","Forward"
"32006","15057","11058","1000","Horizontal","Forward"
"32007","11058","11059","1000","Horizontal","Forward"
"32008","11059","11060","1000","Horizontal","Forward"
"32009","11060","10061","1000","Horizontal","Forward"
"32201","10061","10063","1000","Horizontal","Forward"
"32203","10063","10064","1000","Horizontal","Forward"
"30101","10064","11065","1000","Horizontal","Forward"
"30102","11065","11066","1000","Horizontal","Forward"
"30103","11066","11067","1000","Horizontal","Forward"
"30104","11067","11068","1000","Horizontal","Forward"
"30105","11068","11069","1000","Horizontal","Forward"
"30106","11069","11070","1000","Horizontal","Forward"
"30107","11070","10001","1000","Horizontal","Forward"
"30108","10001","10002","1000","Horizontal","Forward"
"30109","10002","10003","1000","Horizontal","Forward"
"30110","10003","10004","1000","Horizontal","Forward"
"30111","10004","10005","1000","Horizontal","Forward"
"30201","10005","10006","1000","Horizontal","Forward"
"30202","10006","11007","1000","Horizontal","Forward"
"30203","11007","10008","1000","Horizontal","Forward"
"30204","10008","10009","1000","Horizontal","Forward"
"30302","10009","10011","1000","Horizontal","Forward"
"30501","10011","13012","1000","Horizontal","Forward"
"30502","13012","10013","1000","Horizontal","Forward"
"30701","10013","10015","1000","Horizontal","Forward"
"30801","10015","10016","1000","Horizontal","Forward"
"30802","10016","11017","1000","Horizontal","Forward"
"30803","11017","10018","1000","Horizontal","Forward"
"30804","10018","10019","1000","Horizontal","Forward"
"31002","10019","10022","1000","Horizontal","Forward"
"31501","10022","10023","1000","Horizontal","Forward"
"31503","10023","10025","1000","Horizontal","Forward"
"31701","10025","10026","1000","Horizontal","Forward"
"31702","10026","13027","1000","Horizontal","Forward"
"31703","13027","11028","1000","Horizontal","Forward"
"31704","11028","10029","1000","Horizontal","Forward"
"31705","10029","10030","1000","Horizontal","Forward"
"31801","10030","10052","1000","Horizontal","Forward"
"31101","10005","10101","1000","Horizontal","Forward"
"31102","10101","11102","1000","Horizontal","Forward"
"31103","11102","10103","1000","Horizontal","Forward"
"31201","10103","10009","1000","Horizontal","Forward"
"31301","10103","10104","1000","Horizontal","Forward"
"31302","10104","11105","1000","Horizontal","Forward"
"31303","11105","11106","1000","Horizontal","Forward"
"31304","11106","11107","1000","Horizontal","Forward"
"31305","11107","10108","1000","Horizontal","Forward"
"31306","10108","10022","1000","Horizontal","Forward"
"30601","10013","10201","1000","Horizontal","Forward"
"30602","10201","11202","1000","Horizontal","Forward"
"30603","11202","12203","1000","Horizontal","Forward"
"30604","12203","14204","1000","Horizontal","Forward"
"30605","14204","12205","1000","Horizontal","Forward"
"30606","12205","12206","1000","Horizontal","Forward"
"30607","12206","10011","1000","Horizontal","Forward"
"30901","10015","10207","1000","Horizontal","Forward"
"30902","10207","11208","1000","Horizontal","Forward"
"30903","11208","10209","1000","Horizontal","Forward"
"30904","10209","10019","1000","Horizontal","Forward"
"31401","10022","10109","1000","Horizontal","Forward"
"31403","10109","10064","1000","Horizontal","Forward"
"32101","10061","10305","1000","Horizontal","Forward"
"32102","10305","10025","1000","Horizontal","Forward"
"31601","10025","10301","1000","Horizontal","Forward"
"31602","10301","13302","1000","Horizontal","Forward"
"31603","13302","11303","1000","Horizontal","Forward"
"31604","11303","10304","1000","Horizontal","Forward"
"31605","10304","10030","1000","Horizontal","Forward"
