Id,PositionX,PositionY,VehicleHeadAngle,IsCharger,ChargeDirection,LoadUnloadDirection,PioDirection,SpecialTurn,AliasId
76001,275,16759,0,TRUE,Right,Right,Right,,STK020 out
48002,2781,16759,0,FALSE,None,None,None,,
68003,5292,16759,0,FALSE,None,Right,Right,,STK020 in
16031,8000,16759,0,FALSE,None,None,None,,
16032,10600,16759,0,FALSE,None,None,None,,
76004,13179,16759,0,TRUE,Right,Right,Right,,RGV050 out
48005,15681,16759,0,FALSE,None,None,None,,
16033,22180,16759,0,FALSE,None,None,None,,
48006,24681,16759,0,FALSE,None,None,None,,
76007,26800,16759,0,TRUE,Right,Right,Right,,RGV050 out
16034,32200,16759,0,FALSE,None,None,None,,
48008,35681,16759,0,FALSE,None,None,None,,
16035,41000,16759,0,FALSE,None,None,None,,
48009,43681,16759,0,FALSE,None,None,None,,
68010,48729,16759,0,FALSE,None,Right,Right,,STK230
48030,52381,14259,0,FALSE,None,None,None,TR50,
16036,50000,14259,0,FALSE,None,None,None,,
48011,43681,14259,0,FALSE,None,None,None,,
16037,41000,14259,0,FALSE,None,None,None,,
48012,35681,14259,0,FALSE,None,None,None,,
16038,30180,14259,0,FALSE,None,None,None,,
48013,24681,14259,0,FALSE,None,None,None,,
16039,22180,14259,0,FALSE,None,None,None,,
48014,15681,14259,0,FALSE,None,None,None,,
48015,11602,14259,0,FALSE,None,None,None,,
48016,9042,14259,0,FALSE,None,None,None,,
48017,2781,14259,0,FALSE,None,None,None,,
16018,6782,7409,-90,FALSE,None,None,None,TR50,
16019,6782,11989,-90,FALSE,None,None,None,,
16020,9282,11989,-90,FALSE,None,None,None,,
48021,9282,7409,-90,FALSE,None,None,None,,
16022,10482,7409,-90,FALSE,None,None,None,TR50,
68023,10482,2758,-90,FALSE,None,Left,Left,,RGV010 out
52024,10482,-16,-90,FALSE,None,Left,Left,,RGV010 in
52025,9282,748,-90,FALSE,None,Right,Right,,LFT030 in
76026,9282,3265,-90,TRUE,Right,Right,Right,,LFT030 out
16027,-1174,14259,0,FALSE,None,None,None,TR50,
48028,-1174,16759,0,FALSE,None,None,None,TR50,
16040,14181,14259,0,FALSE,None,None,None,,
16041,5500,14259,0,FALSE,None,None,None,,
