Id,FromAddress,ToAddress,Speed,Type,PermitDirection
0011,48028,76001,600,Horizontal,Forward
0012,76001,48002,600,Horizontal,Forward
0021,48002,68003,600,Horizontal,Forward
0022,68003,16031,600,Horizontal,Forward
0023,16031,16032,600,Horizontal,Forward
0024,16032,76004,600,Horizontal,Forward
0025,76004,48005,600,Horizontal,Forward
0031,48005,16033,600,Horizontal,Forward
0032,16033,48006,600,Horizontal,Forward
0041,48006,76007,600,Horizontal,Forward
0042,76007,16034,600,Horizontal,Forward
0043,16034,48008,600,Horizontal,Forward
0051,48008,16035,600,Horizontal,Forward
0052,16035,48009,600,Horizontal,Forward
0061,48009,68010,1000,Horizontal,Forward
0062,68010,16029,1000,Horizontal,Forward
0201,48030,16036,1000,Horizontal,Forward
0202,16036,48011,1000,Horizontal,Forward
0071,48011,16037,1000,Horizontal,Forward
0072,16037,48012,1000,Horizontal,Forward
0081,48012,16038,1000,Horizontal,Forward
0082,16038,48013,600,Horizontal,Forward
0091,48013,16039,600,Horizontal,Forward
0092,16039,48014,1000,Horizontal,Forward
0101,48014,16040,1000,Horizontal,Forward
0102,16040,48015,1000,Horizontal,Forward
0111,48015,48016,1000,Horizontal,Forward
0121,48016,16041,1000,Horizontal,Forward
0122,16041,48017,1000,Horizontal,Forward
0221,48017,16027,600,Horizontal,Forward
0222,16027,48028,600,Vertical,Forward
0231,48017,48002,600,Vertical,Forward
0131,48005,48014,600,Vertical,Forward
0141,48013,48006,600,Vertical,Forward
0151,48012,48008,600,Vertical,Forward
0211,48009,48011,600,Vertical,Forward
0063,16029,48030,300,Vertical,Forward
0162,16018,16019,300,Vertical,Forward
0163,16019,48016,138,R2000,Forward
0171,48015,16020,138,R2000,Forward
0172,16020,48021,600,Vertical,Forward
0181,16022,48021,400,Horizontal,Forward
0161,48021,16018,400,Horizontal,Forward
0182,16022,68023,600,Vertical,Forward
0183,68023,52024,600,Vertical,Forward
0191,52025,76026,600,Vertical,Forward
0192,76026,48021,600,Vertical,Forward
