"Id","PositionX","PositionY","IsWorkStation","CanLeftLoad","CanLeftUnload","CanRightLoad","CanRightUnload","IsCharger","CouplerId","ChargeDirection","IsSegmentPoint","CanSpin","PioDirection","IsTR50","InsideSectionId","OffsetX","OffsetY","OffsetTheta","VehicleHeadAngle"
"10002","0","940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10003","0","1240","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10004","1000","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10005","1300","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10006","3648","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"11007","6851","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10008","9071","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10009","11141","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10011","13331","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"13012","14441","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10013","15251","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10015","17381","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10016","19171","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"11017","20411","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10018","20711","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10019","22841","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10022","24521","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10023","26921","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10025","28511","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10026","30671","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"11027","31661","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"11028","35891","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10029","38381","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10030","40481","1940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10052","41241","940","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10053","41241","520","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"10054","40241","0","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"13055","37961","0","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"15056","36581","0","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
"15057","35261","0","True","True","False","False","False","False","None","None","True","False","Left","False","0","0","0","0","0"
