"Id","FromAddress","ToAddress","Speed","Type","PermitDirection"
"30101","10053","10055","1000","Horizontal","Forward"
"30102","10055","10001","1000","Horizontal","Forward"
"30201","10001","10003","1000","Horizontal","Forward"
"30202","10003","10004","1000","Horizontal","Forward"
"30203","10004","10005","1000","Horizontal","Forward"
"30301","10005","10007","1000","Horizontal","Forward"
"30302","10007","10008","1000","Horizontal","Forward"
"30303","10008","10009","1000","Horizontal","Forward"
"30401","10009","10011","1000","Horizontal","Forward"
"30402","10011","10013","1000","Horizontal","Forward"
"30501","10013","13014","1000","Horizontal","Forward"
"30502","13014","13015","1000","Horizontal","Forward"
"30503","13015","13016","1000","Horizontal","Forward"
"30504","13016","13017","1000","Horizontal","Forward"
"30505","13017","10018","1000","Horizontal","Forward"
"30601","10018","10019","1000","Horizontal","Forward"
"30602","10019","10021","1000","Horizontal","Forward"
"30701","10021","13022","1000","Horizontal","Forward"
"30702","13022","13023","1000","Horizontal","Forward"
"30703","13023","13024","1000","Horizontal","Forward"
"30704","13024","13025","1000","Horizontal","Forward"
"30705","13025","10026","1000","Horizontal","Forward"
"30801","10026","10027","1000","Horizontal","Forward"
"30802","10027","10029","1000","Horizontal","Forward"
"30901","10029","10031","1000","Horizontal","Forward"
"30902","10031","10033","1000","Horizontal","Forward"
"31001","10033","13034","1000","Horizontal","Forward"
"31002","13034","13035","1000","Horizontal","Forward"
"31003","13035","13036","1000","Horizontal","Forward"
"31004","13036","13037","1000","Horizontal","Forward"
"31005","13037","10038","1000","Horizontal","Forward"
"31101","10038","10039","1000","Horizontal","Forward"
"31102","10039","10041","1000","Horizontal","Forward"
"31201","10041","10043","1000","Horizontal","Forward"
"31202","10043","10045","1000","Horizontal","Forward"
"31301","10045","10047","1000","Horizontal","Forward"
"31302","10047","10049","1000","Horizontal","Forward"
"31401","10049","10050","1000","Horizontal","Forward"
"31501","10050","10051","1000","Horizontal","Forward"
"31502","10051","10053","1000","Horizontal","Forward"
"31601","10009","10057","1000","Horizontal","Forward"
"31602","10057","10045","1000","Horizontal","Forward"
"31701","10059","10013","1000","Horizontal","Forward"
"31702","10041","10059","1000","Horizontal","Forward"
"31801","10001","10101","1000","Horizontal","Forward"
"31802","10101","13102","1000","Horizontal","Forward"
"31803","13102","13103","1000","Horizontal","Forward"
"31804","13103","10104","1000","Horizontal","Forward"
"31805","10104","10005","1000","Horizontal","Forward"
"31901","10005","10201","1000","Horizontal","Forward"
"31902","10201","13202","1000","Horizontal","Forward"
"31903","13202","13203","1000","Horizontal","Forward"
"31904","13203","10204","1000","Horizontal","Forward"
"31905","10204","10009","1000","Horizontal","Forward"
"32001","10018","10301","1000","Horizontal","Forward"
"32002","10301","11302","1000","Horizontal","Forward"
"32003","11302","10303","1000","Horizontal","Forward"
"32004","10303","10304","1000","Horizontal","Forward"
"32101","10304","11305","1000","Horizontal","Forward"
"32102","11305","11306","1000","Horizontal","Forward"
"32103","11306","10307","1000","Horizontal","Forward"
"32201","10307","10308","1000","Horizontal","Forward"
"32202","10308","10313","1000","Horizontal","Forward"
"32203","10313","10314","1000","Horizontal","Forward"
"32301","10307","10309","1000","Horizontal","Forward"
"32302","10309","19310","1000","Horizontal","Forward"
"32303","19310","13311","1000","Horizontal","Forward"
"32304","13311","10312","1000","Horizontal","Forward"
"32305","10312","10314","1000","Horizontal","Forward"
"32401","10314","10316","1000","Horizontal","Forward"
"32402","10316","10317","1000","Horizontal","Forward"
"32403","10317","11318","1000","Horizontal","Forward"
"32404","11318","11319","1000","Horizontal","Forward"
"32405","11319","11320","1000","Horizontal","Forward"
"32406","11320","11321","1000","Horizontal","Forward"
"32407","11321","10322","1000","Horizontal","Forward"
"32501","10322","10323","1000","Horizontal","Forward"
"32502","10323","11324","1000","Horizontal","Forward"
"32503","11324","10325","1000","Horizontal","Forward"
"32504","10325","10021","1000","Horizontal","Forward"
"32601","10322","10326","1000","Horizontal","Forward"
"32602","10326","10304","1000","Horizontal","Forward"
"32701","10026","10401","1000","Horizontal","Forward"
"32702","10401","14402","1000","Horizontal","Forward"
"32703","14402","14403","1000","Horizontal","Forward"
"32704","14403","12404","1000","Horizontal","Forward"
"32705","12404","12405","1000","Horizontal","Forward"
"32706","12405","12406","1000","Horizontal","Forward"
"32707","12406","12407","1000","Horizontal","Forward"
"32708","12407","12408","1000","Horizontal","Forward"
"32709","12408","13409","1000","Horizontal","Forward"
"32710","13409","12410","1000","Horizontal","Forward"
"32711","12410","13411","1000","Horizontal","Forward"
"32712","13411","10412","1000","Horizontal","Forward"
"32713","10412","10413","1000","Horizontal","Forward"
"32801","10413","11414","1000","Horizontal","Forward"
"32802","11414","13415","1000","Horizontal","Forward"
"32803","13415","13416","1000","Horizontal","Forward"
"32804","13416","13417","1000","Horizontal","Forward"
"32805","13417","13418","1000","Horizontal","Forward"
"32806","13418","12419","1000","Horizontal","Forward"
"32807","12419","12420","1000","Horizontal","Forward"
"32808","12420","12421","1000","Horizontal","Forward"
"32809","12421","13422","1000","Horizontal","Forward"
"32810","13422","12423","1000","Horizontal","Forward"
"32811","12423","13424","1000","Horizontal","Forward"
"32812","13424","12425","1000","Horizontal","Forward"
"32813","12425","12426","1000","Horizontal","Forward"
"32814","12426","12427","1000","Horizontal","Forward"
"32815","12427","12428","1000","Horizontal","Forward"
"32816","12428","10429","1000","Horizontal","Forward"
"32817","10429","10430","1000","Horizontal","Forward"
"32818","10430","10432","1000","Horizontal","Forward"
"32819","10432","13433","1000","Horizontal","Forward"
"32820","13433","13434","1000","Horizontal","Forward"
"32821","13434","12435","1000","Horizontal","Forward"
"32822","12435","12436","1000","Horizontal","Forward"
"32823","12436","12437","1000","Horizontal","Forward"
"32824","12437","12438","1000","Horizontal","Forward"
"32825","12438","12439","1000","Horizontal","Forward"
"32826","12439","12440","1000","Horizontal","Forward"
"32827","12440","12441","1000","Horizontal","Forward"
"32828","12441","12442","1000","Horizontal","Forward"
"32829","12442","13443","1000","Horizontal","Forward"
"32830","13443","13444","1000","Horizontal","Forward"
"32831","13444","11445","1000","Horizontal","Forward"
"32836","11445","11468","1000","Horizontal","Forward"
"32832","11468","13446","1000","Horizontal","Forward"
"32833","13446","13447","1000","Horizontal","Forward"
"32834","13447","13448","1000","Horizontal","Forward"
"32835","13448","10449","1000","Horizontal","Forward"
"32901","10449","10450","1000","Horizontal","Forward"
"32902","10450","13451","1000","Horizontal","Forward"
"32903","13451","12452","1000","Horizontal","Forward"
"32904","12452","13453","1000","Horizontal","Forward"
"32905","13453","12454","1000","Horizontal","Forward"
"32906","12454","13455","1000","Horizontal","Forward"
"32907","13455","12456","1000","Horizontal","Forward"
"32908","12456","12457","1000","Horizontal","Forward"
"32909","12457","12458","1000","Horizontal","Forward"
"32910","12458","12459","1000","Horizontal","Forward"
"32911","12459","12460","1000","Horizontal","Forward"
"32912","12460","12461","1000","Horizontal","Forward"
"32913","12461","12462","1000","Horizontal","Forward"
"32914","12462","12463","1000","Horizontal","Forward"
"32915","12463","14464","1000","Horizontal","Forward"
"32916","14464","14465","1000","Horizontal","Forward"
"32917","14465","10466","1000","Horizontal","Forward"
"32918","10466","10029","1000","Horizontal","Forward"
"33001","10449","10467","1000","Horizontal","Forward"
"33002","10467","10413","1000","Horizontal","Forward"
"33101","10029","10501","1000","Horizontal","Forward"
"33201","10501","13502","1000","Horizontal","Forward"
"33202","13502","13503","1000","Horizontal","Forward"
"33203","13503","12504","1000","Horizontal","Forward"
"33204","12504","12505","1000","Horizontal","Forward"
"33205","12505","13506","1000","Horizontal","Forward"
"33206","13506","12507","1000","Horizontal","Forward"
"33207","12507","13508","1000","Horizontal","Forward"
"33208","13508","12509","1000","Horizontal","Forward"
"33209","12509","12510","1000","Horizontal","Forward"
"33210","12510","12511","1000","Horizontal","Forward"
"33211","12511","12512","1000","Horizontal","Forward"
"33212","12512","12513","1000","Horizontal","Forward"
"33213","12513","12514","1000","Horizontal","Forward"
"33214","12514","12515","1000","Horizontal","Forward"
"33215","12515","12516","1000","Horizontal","Forward"
"33216","12516","12517","1000","Horizontal","Forward"
"33217","12517","12518","1000","Horizontal","Forward"
"33218","12518","13519","1000","Horizontal","Forward"
"33219","13519","12520","1000","Horizontal","Forward"
"33220","12520","13521","1000","Horizontal","Forward"
"33221","13521","12522","1000","Horizontal","Forward"
"33222","12522","12523","1000","Horizontal","Forward"
"33223","12523","13524","1000","Horizontal","Forward"
"33224","13524","13525","1000","Horizontal","Forward"
"33225","13525","10526","1000","Horizontal","Forward"
"33301","10526","10527","1000","Horizontal","Forward"
"33302","10527","12528","1000","Horizontal","Forward"
"33303","12528","12529","1000","Horizontal","Forward"
"33304","12529","12530","1000","Horizontal","Forward"
"33305","12530","12531","1000","Horizontal","Forward"
"33306","12531","13532","1000","Horizontal","Forward"
"33307","13532","14533","1000","Horizontal","Forward"
"33308","14533","12534","1000","Horizontal","Forward"
"33309","12534","12535","1000","Horizontal","Forward"
"33310","12535","12536","1000","Horizontal","Forward"
"33311","12536","12537","1000","Horizontal","Forward"
"33312","12537","12538","1000","Horizontal","Forward"
"33313","12538","12539","1000","Horizontal","Forward"
"33314","12539","12540","1000","Horizontal","Forward"
"33315","12540","14541","1000","Horizontal","Forward"
"33316","14541","14542","1000","Horizontal","Forward"
"33317","14542","12543","1000","Horizontal","Forward"
"33318","12543","12544","1000","Horizontal","Forward"
"33319","12544","12545","1000","Horizontal","Forward"
"33320","12545","12546","1000","Horizontal","Forward"
"33321","12546","12547","1000","Horizontal","Forward"
"33322","12547","13548","1000","Horizontal","Forward"
"33323","13548","12549","1000","Horizontal","Forward"
"33324","12549","13550","1000","Horizontal","Forward"
"33325","13550","13551","1000","Horizontal","Forward"
"33326","13551","13552","1000","Horizontal","Forward"
"33327","13552","10553","1000","Horizontal","Forward"
"33328","10553","10554","1000","Horizontal","Forward"
"33329","10554","10556","1000","Horizontal","Forward"
"33330","10556","13557","1000","Horizontal","Forward"
"33331","13557","13558","1000","Horizontal","Forward"
"33332","13558","12559","1000","Horizontal","Forward"
"33333","12559","12560","1000","Horizontal","Forward"
"33334","12560","12561","1000","Horizontal","Forward"
"33335","12561","12562","1000","Horizontal","Forward"
"33336","12562","12563","1000","Horizontal","Forward"
"33337","12563","12564","1000","Horizontal","Forward"
"33338","12564","12565","1000","Horizontal","Forward"
"33339","12565","13566","1000","Horizontal","Forward"
"33340","13566","12567","1000","Horizontal","Forward"
"33341","12567","13568","1000","Horizontal","Forward"
"33342","13568","12569","1000","Horizontal","Forward"
"33343","12569","12570","1000","Horizontal","Forward"
"33344","12570","12571","1000","Horizontal","Forward"
"33345","12571","12572","1000","Horizontal","Forward"
"33346","12572","12573","1000","Horizontal","Forward"
"33347","12573","12574","1000","Horizontal","Forward"
"33348","12574","12575","1000","Horizontal","Forward"
"33349","12575","14576","1000","Horizontal","Forward"
"33350","14576","13577","1000","Horizontal","Forward"
"33351","13577","12578","1000","Horizontal","Forward"
"33352","12578","12579","1000","Horizontal","Forward"
"33353","12579","12580","1000","Horizontal","Forward"
"33354","12580","12581","1000","Horizontal","Forward"
"33355","12581","10582","1000","Horizontal","Forward"
"33356","10582","10583","1000","Horizontal","Forward"
"33401","10583","13584","1000","Horizontal","Forward"
"33402","13584","13585","1000","Horizontal","Forward"
"33403","13585","13586","1000","Horizontal","Forward"
"33404","13586","12587","1000","Horizontal","Forward"
"33405","12587","13588","1000","Horizontal","Forward"
"33406","13588","12589","1000","Horizontal","Forward"
"33407","12589","12590","1000","Horizontal","Forward"
"33408","12590","12591","1000","Horizontal","Forward"
"33409","12591","12592","1000","Horizontal","Forward"
"33410","12592","12593","1000","Horizontal","Forward"
"33411","12593","12594","1000","Horizontal","Forward"
"33412","12594","12595","1000","Horizontal","Forward"
"33413","12595","14596","1000","Horizontal","Forward"
"33414","14596","14597","1000","Horizontal","Forward"
"33415","14597","12598","1000","Horizontal","Forward"
"33416","12598","12599","1000","Horizontal","Forward"
"33417","12599","12901","1000","Horizontal","Forward"
"33418","12901","12902","1000","Horizontal","Forward"
"33419","12902","12903","1000","Horizontal","Forward"
"33420","12903","12904","1000","Horizontal","Forward"
"33421","12904","13905","1000","Horizontal","Forward"
"33422","13905","13906","1000","Horizontal","Forward"
"33423","13906","10907","1000","Horizontal","Forward"
"33501","10907","10033","1000","Horizontal","Forward"
"33601","10526","10910","1000","Horizontal","Forward"
"33602","10910","10583","1000","Horizontal","Forward"
"33701","10908","10501","1000","Horizontal","Forward"
"33702","10907","10908","1000","Horizontal","Forward"
"33801","10038","10601","1000","Horizontal","Forward"
"33901","10601","13602","1000","Horizontal","Forward"
"33902","13602","13603","1000","Horizontal","Forward"
"33903","13603","12604","1000","Horizontal","Forward"
"33904","12604","12605","1000","Horizontal","Forward"
"33905","12605","12606","1000","Horizontal","Forward"
"33906","12606","12607","1000","Horizontal","Forward"
"33907","12607","12608","1000","Horizontal","Forward"
"33908","12608","13609","1000","Horizontal","Forward"
"33909","13609","12610","1000","Horizontal","Forward"
"33910","12610","13611","1000","Horizontal","Forward"
"33911","13611","12612","1000","Horizontal","Forward"
"33912","12612","12613","1000","Horizontal","Forward"
"33913","12613","12614","1000","Horizontal","Forward"
"33914","12614","12615","1000","Horizontal","Forward"
"33915","12615","12616","1000","Horizontal","Forward"
"33916","12616","10617","1000","Horizontal","Forward"
"33917","10617","10618","1000","Horizontal","Forward"
"34001","10618","10619","1000","Horizontal","Forward"
"34002","10619","13620","1000","Horizontal","Forward"
"34003","13620","13621","1000","Horizontal","Forward"
"34004","13621","13622","1000","Horizontal","Forward"
"34005","13622","13623","1000","Horizontal","Forward"
"34006","13623","12624","1000","Horizontal","Forward"
"34007","12624","12625","1000","Horizontal","Forward"
"34008","12625","12626","1000","Horizontal","Forward"
"34009","12626","12627","1000","Horizontal","Forward"
"34010","12627","13628","1000","Horizontal","Forward"
"34011","13628","12629","1000","Horizontal","Forward"
"34012","12629","13630","1000","Horizontal","Forward"
"34013","13630","12631","1000","Horizontal","Forward"
"34014","12631","12632","1000","Horizontal","Forward"
"34015","12632","12633","1000","Horizontal","Forward"
"34016","12633","12634","1000","Horizontal","Forward"
"34017","12634","12635","1000","Horizontal","Forward"
"34018","12635","12636","1000","Horizontal","Forward"
"34019","12636","12637","1000","Horizontal","Forward"
"34020","12637","13638","1000","Horizontal","Forward"
"34021","13638","12639","1000","Horizontal","Forward"
"34022","12639","13640","1000","Horizontal","Forward"
"34023","13640","12641","1000","Horizontal","Forward"
"34024","12641","12642","1000","Horizontal","Forward"
"34025","12642","12643","1000","Horizontal","Forward"
"34026","12643","13644","1000","Horizontal","Forward"
"34027","13644","13645","1000","Horizontal","Forward"
"34028","13645","10646","1000","Horizontal","Forward"
"34029","10646","10647","1000","Horizontal","Forward"
"34030","10647","10649","1000","Horizontal","Forward"
"34031","10649","13650","1000","Horizontal","Forward"
"34032","13650","13651","1000","Horizontal","Forward"
"34033","13651","13652","1000","Horizontal","Forward"
"34034","13652","13653","1000","Horizontal","Forward"
"34035","13653","13654","1000","Horizontal","Forward"
"34036","13654","14655","1000","Horizontal","Forward"
"34037","14655","12656","1000","Horizontal","Forward"
"34038","12656","12657","1000","Horizontal","Forward"
"34039","12657","12658","1000","Horizontal","Forward"
"34040","12658","12659","1000","Horizontal","Forward"
"34041","12659","14660","1000","Horizontal","Forward"
"34042","14660","14661","1000","Horizontal","Forward"
"34043","14661","12662","1000","Horizontal","Forward"
"34044","12662","12663","1000","Horizontal","Forward"
"34045","12663","12664","1000","Horizontal","Forward"
"34046","12664","12665","1000","Horizontal","Forward"
"34047","12665","13666","1000","Horizontal","Forward"
